누적투자유치금액,기업추천수,지역명,투자일자,투자단계명,투자금액,기업가치금액,앱스토어 등록,구글플레이 등록,설립일자_분류,기술스택_개수,산업구분명_분류
6000000000.0,1,수도권,20140819,투자 단계 비공개,6000000000.0,100000000000.0,0,0,2017년 이전,1,IT
427000000.0,1,수도권,20200226,Seed,327000000.0,,0,0,2017년 이후,4,IT
1300000000.0,8,수도권,20150101,투자 단계 비공개,,,0,0,2017년 이전,25,IT
100000000.0,0,수도권,20210603,Seed,100000000.0,,0,0,2017년 이후,14,IT
1000000000.0,0,수도권,20100427,투자 단계 비공개,1000000000.0,,1,0,2017년 이전,1,IT
780000000.0,1,수도권,20210701,투자 단계 비공개,500000000.0,,0,0,2017년 이후,19,IT
6500000000.0,1,수도권,20190901,Seed,500000000.0,,1,1,2017년 이전,1,IT
250000000.0,4,비수도권,20191202,Seed,250000000.0,,0,0,2017년 이후,32,IT
96499998.0,0,수도권,20160309,투자 단계 비공개,,,1,1,2017년 이전,12,IT
4000000000.0,1,수도권,20210401,Series A,4000000000.0,,0,0,2017년 이후,24,IT
144716730.0,1,수도권,20211115,Seed,100051800.0,2000000000.0,0,0,2017년 이후,27,IT
5000000000.0,4,수도권,20160713,투자 단계 비공개,3000000000.0,,0,0,2017년 이전,25,IT
1040000000.0,0,수도권,20171211,투자 단계 비공개,20000000.0,,1,1,2017년 이전,22,IT
12450000000.0,4,수도권,20171101,Seed,150000000.0,,0,0,2017년 이전,1,IT
3300000000.0,7,수도권,20180719,Series A,3000000000.0,,0,0,2017년 이후,32,IT
290000000.0,7,수도권,20210502,Seed,130000000.0,,0,0,2017년 이후,27,IT
3000000000.0,10,수도권,20161004,투자 단계 비공개,3000000000.0,,1,1,2017년 이전,1,IT
100000000.0,15,비수도권,20180704,Seed,100000000.0,,0,0,2017년 이후,15,IT
150000000.0,1,비수도권,20150101,투자 단계 비공개,150000000.0,,0,0,2017년 이전,1,None IT
18000000000.0,1,수도권,20210215,투자 단계 비공개,18000000000.0,,0,0,2017년 이후,1,None IT
55000000.0,2,수도권,20150901,투자 단계 비공개,55000000.0,,0,1,2017년 이전,1,None IT
18500000000.0,201,수도권,20210702,Series B,13500000000.0,,1,1,2017년 이전,26,IT
800000000.0,0,수도권,20151218,투자 단계 비공개,800000000.0,,1,1,2017년 이전,20,IT
3000000000.0,0,수도권,20210628,Seed,3000000000.0,,1,0,2017년 이후,5,None IT
5400000000.0,0,수도권,20150724,투자 단계 비공개,4200000000.0,,0,0,2017년 이전,1,None IT
2000000000.0,13,수도권,20210330,Series A,2000000000.0,,0,0,2017년 이전,1,IT
60000000.0,0,수도권,20150501,Angel,60000000.0,,1,1,2017년 이전,1,IT
2300000000.0,1,수도권,20171128,Angel,200000000.0,8000000000.0,0,0,2017년 이전,5,IT
500000000.0,6,수도권,20150624,투자 단계 비공개,500000000.0,5000000000.0,0,0,2017년 이전,1,IT
500000000.0,1,수도권,20170420,투자 단계 비공개,500000000.0,,0,0,2017년 이전,31,IT
300000000.0,0,수도권,20130101,투자 단계 비공개,300000000.0,,1,1,2017년 이전,1,IT
100000000.0,0,비수도권,20150901,투자 단계 비공개,100000000.0,,0,0,2017년 이전,1,None IT
7500000000.0,8,수도권,20171205,Series B,3000000000.0,,1,1,2017년 이전,6,IT
380000000.0,0,수도권,20181001,투자 단계 비공개,,,1,1,2017년 이전,1,IT
6700000000.0,1,수도권,20141023,투자 단계 비공개,,,1,1,2017년 이전,23,IT
2100000000.0,8,수도권,20200312,Series A,500000000.0,,0,0,2017년 이전,4,IT
1500000000.0,5,수도권,20150501,Seed,1500000000.0,,1,1,2017년 이전,1,IT
1200000000.0,9,수도권,20181228,투자 단계 비공개,,,1,1,2017년 이전,13,IT
3000000000.0,0,수도권,20180530,투자 단계 비공개,1000000000.0,,1,1,2017년 이전,14,IT
2000000000.0,35,수도권,20161024,투자 단계 비공개,,,1,1,2017년 이전,33,IT
7694900000.0,4,수도권,20171023,투자 단계 비공개,200000000.0,,0,0,2017년 이전,11,IT
4500000000.0,0,수도권,20180315,Series A,4500000000.0,10000000000.0,0,0,2017년 이전,1,IT
6100000000.0,10,수도권,20150730,Seed,1100000000.0,,0,0,2017년 이전,23,IT
1000000000.0,4,수도권,20160726,투자 단계 비공개,1000000000.0,,0,0,2017년 이전,19,IT
700000000.0,0,수도권,20150601,투자 단계 비공개,350000000.0,,0,0,2017년 이전,1,IT
