투자일련번호,기업일련번호,투자일자,투자단계명,투자금액,기업가치금액,투자유치비고,보도자료발행사명,보도자료제목,보도자료url,투자기관번호
1417,19965,20160725,투자 단계 비공개,1000000000,,,,수림창업투자|| 큐라켐에 10억 원 투자                                                                                                                                                                                                                                                                                       ,http://www.thebell.co.kr/front/free/contents/news/article_view.asp?key=201607190100034460002092&svccode=03&page=1,19967
9560,27220,20211105,Series A,3200000000,,,매일경제,피트니스 플랫폼 `다짐` 32억 원 시리즈A 투자 유치                                                                                                                                                                                                                                                                              ,https://mirakle.mk.co.kr/view.php?year=2021&no=1049250,140982||159603||11689||7729
9563,158923,20200201,Series A,,10000000000,,,,,36895
9568,141113,20211001,투자 단계 비공개,170000000,,,전자신문,경기콘텐츠진흥원|| 유통분야 VR·AR 융합서비스 발굴지원                                                                                                                                                                                                                                                                             ,https://www.etnews.com/20210629000118,14040
9567,86744,20210819,투자 단계 비공개,300000000,,,,,,159633
9562,158923,20190806,Seed,,,,,,,107936
9328,156510,20211014,투자 단계 비공개,,,,,,,131874
4512,81022,20170904,투자 단계 비공개,73574400,,,,,,22878
9558,103276,20210701,해당없음,10000000,,,,,,107185
9526,5264,20210121,투자 단계 비공개,3800000000,,,,,,
9512,159065,20210930,Seed,,,,,,,
9557,103276,20210401,해당없음,300000000,,,,,,12812
9480,111307,20210930,투자 단계 비공개,300000000,,,,,,549||158585
9523,144857,20211028,투자 단계 비공개,100000000,,,,,,7824
9525,5264,20200131,Series A,2999970000,,,,,,
9555,159568,20210621,Series A,2000000000,,,한국경제,AI 전문기업 에이엘아이|| 엔씨소프트로부터 시리즈A 투자 유치                                                                                                                                                                                                                                                                          ,https://www.hankyung.com/news/amp/202106211375u,5465
9552,14314,20211104,Series A,13300000000,,,플래텀,AI 스타트업 ‘액션파워’|| 133억원 시리즈 A 투자 유치                                                                                                                                                                                                                                                                           ,https://platum.kr/archives/174223,16964
9556,103276,20210701,해당없음,50000000,,,,,,19620
9553,86896,20211105,해당없음,500000000,,팁스(TIPS) 프로그램 선정,,,,3785
9539,13248,20210930,Series A,2000000000,,,,,,10121
9530,152647,20210901,Seed,,,,,,,
9710,161103,20211215,Series A,1700000000,7000000000,,,,https://news.kbs.co.kr/news/view.do?ncd=5336392&ref=A,
9709,103276,20211129,해당없음,50000000,,,,,,19620
9541,21140,20211013,Seed,,,전략적 제휴 및 시드라운드 투자 유치,팍스넷뉴스,윈텍-인텔리즈|| 머신비전 AI 고도화 업무협약 체결                                                                                                                                                                                                                                                                                ,https://paxnetnews.com/articles/80094,159355
9537,146432,20211026,투자 단계 비공개,376000000,,,,,,16964
9538,123343,20210928,Angel,,1000000000,,,,,154526
9534,79584,20201231,Series A,17500000000,,,,,https://thevc.kr/yamtable,
9546,151936,20210428,해당없음,20000000,,,서울시립대학교,[캠퍼스타운사업단] 2021 창업MAKERS 창업아카데미 최종 결과 발표                                                                                                                                                                                                                                                                    ,https://uos.ac.kr/korColumn/view.do?list_id=FA35&seq=539&sort=65&pageIndex=7&searchCnd=&searchWrd=&viewAuth=Y&lpageCount=10,159378
9533,159285,20210701,투자 단계 비공개,,,'21 예비창업패키지 선정,,,,151432
