누적투자유치금액,기업추천수,투자금액,앱스토어 등록,구글플레이 등록,기술스택_개수,IT기업 여부,2017년 이후 설립 여부,수도권 여부,투자성공여부,누적투자유치금액_투자금액_차이,투자단계명_숫자
4250000000.0,5,2396568300.8753204,1,1,19,1,1,1,1,1853431699.12468,4
200000000.0,0,100000000.0,1,1,1,1,0,1,0,100000000.0,1
145000000.0,2,50000000.0,0,0,1,1,1,1,1,95000000.0,3
1800000000.0,1,1800000000.0,0,0,13,1,0,1,0,0.0,1
3100000000.0,0,2600000000.0,1,1,1,1,0,1,0,500000000.0,1
14500000000.0,0,6000000000.0,1,1,1,1,0,1,1,8500000000.0,4
20000000.0,0,20000000.0,0,0,1,0,0,0,0,0.0,1
79995025.0,1,79995025.0,0,0,14,1,1,1,1,0.0,2
100000000.0,0,100000000.0,0,0,1,0,0,0,0,0.0,1
10000000000.0,15,800000000.0,1,1,7,0,0,1,0,9200000000.0,1
2000000000.0,1,2000000000.0,0,0,6,1,1,1,1,0.0,4
100000000.0,0,100000000.0,0,0,1,1,0,1,0,0.0,3
3360000000.0,5,2396568300.8753204,1,1,6,1,0,1,0,963431699.1246796,1
13460000000.0,4,590000000.0,1,1,62,1,0,1,0,12870000000.0,1
500000000.0,0,500000000.0,0,0,1,0,0,1,0,0.0,1
100000000.0,0,100000000.0,0,0,12,1,0,1,0,0.0,1
5400000000.0,4,4500000000.0,0,0,26,1,1,1,1,900000000.0,4
6800000000.0,3,900000000.0,0,0,10,1,0,1,0,5900000000.0,1
2020000000.0,0,1450000000.0,0,0,5,0,0,1,0,570000000.0,1
900000000.0,10,400000000.0,0,0,10,1,0,1,0,500000000.0,1
4000000000.0,0,4000000000.0,0,0,1,1,0,1,0,0.0,1
39858000.0,1,39858000.0,0,0,9,1,1,1,1,0.0,3
1250000000.0,0,1250000000.0,1,1,18,0,1,1,1,0.0,3
30000000000.0,0,5000000000.0,0,0,1,1,0,1,0,25000000000.0,1
500000000.0,0,500000000.0,0,0,3,0,0,1,0,0.0,1
60000000.0,6,2396568300.8753204,1,1,1,1,1,1,1,-2336568300.8753204,1
255000000.0,4,255000000.0,0,0,19,1,1,1,1,0.0,3
140000000.0,2,100000000.0,1,1,1,1,1,0,1,40000000.0,1
280000000.0,0,50000000.0,1,1,1,1,0,1,0,230000000.0,1
700000000.0,0,700000000.0,0,1,31,1,0,1,0,0.0,1
5600000000.0,3,600000000.0,1,1,7,0,0,1,0,5000000000.0,1
300000000.0,3,300000000.0,0,0,40,1,0,0,1,0.0,2
1000000000.0,1,1000000000.0,0,0,1,1,0,1,0,0.0,1
100000000.0,0,100000000.0,0,0,17,1,0,1,0,0.0,3
180000000.0,0,100000000.0,0,0,1,1,0,1,0,80000000.0,3
2000000000.0,22,2000000000.0,0,0,5,0,1,1,1,0.0,1
750000000.0,9,150000000.0,1,1,42,1,1,1,1,600000000.0,4
100000000.0,0,100000000.0,0,0,16,1,1,1,1,0.0,2
2000000000.0,12,2000000000.0,1,1,14,0,1,1,1,0.0,1
4960000000.0,21,60000000.0,0,1,26,1,1,1,1,4900000000.0,2
300000000.0,0,300000000.0,0,0,1,0,1,1,1,0.0,1
3000000000.0,14,2396568300.8753204,0,0,12,1,0,0,1,603431699.1246796,1
1600000000.0,2,2396568300.8753204,1,1,24,1,0,1,1,-796568300.8753204,1
300000000.0,10,300000000.0,0,0,23,1,1,1,1,0.0,3
2600000000.0,0,2600000000.0,0,0,11,0,1,0,1,0.0,8
300000000.0,0,300000000.0,0,0,1,1,0,1,0,0.0,1
3650000000.0,20,3500000000.0,0,0,25,1,1,1,1,150000000.0,1
50000000.0,0,50000000.0,1,1,25,1,1,1,1,0.0,1
200000000.0,0,50000000.0,0,0,1,1,0,1,0,150000000.0,1
1200000000.0,0,1200000000.0,1,1,1,1,0,1,0,0.0,4
16300000000.0,6,1000000000.0,1,1,1,1,0,1,0,15300000000.0,1
1000000.0,44,1000000.0,0,0,1,1,0,1,1,0.0,1
80000000.0,0,2000000.0,0,0,8,0,0,1,0,78000000.0,1
